idx,unique_id,subject,correct_1p5b_k1,correct_1p5b_k8maj,correct_7b
47,test/algebra/305.json,algebra,0,1,1
48,test/algebra/1265.json,algebra,0,1,1
49,test/prealgebra/1388.json,prealgebra,1,1,1
50,test/number_theory/1055.json,number_theory,0,0,1
51,test/intermediate_algebra/1217.json,intermediate_algebra,0,1,1
52,test/prealgebra/951.json,prealgebra,1,1,1
53,test/precalculus/1105.json,precalculus,1,1,1
54,test/prealgebra/572.json,prealgebra,1,1,1
55,test/algebra/187.json,algebra,0,0,1
56,test/algebra/769.json,algebra,1,1,1
57,test/intermediate_algebra/1168.json,intermediate_algebra,1,1,1
58,test/algebra/722.json,algebra,0,0,1
59,test/prealgebra/1247.json,prealgebra,1,1,1
60,test/intermediate_algebra/956.json,intermediate_algebra,0,0,0
61,test/intermediate_algebra/1247.json,intermediate_algebra,0,1,1
62,test/precalculus/675.json,precalculus,0,1,0
63,test/intermediate_algebra/279.json,intermediate_algebra,0,0,0
64,test/precalculus/1146.json,precalculus,0,0,0
65,test/prealgebra/1747.json,prealgebra,1,1,1
66,test/algebra/2046.json,algebra,1,0,1
67,test/prealgebra/1233.json,prealgebra,1,1,1
68,test/precalculus/1313.json,precalculus,0,0,0
69,test/intermediate_algebra/207.json,intermediate_algebra,1,0,1
70,test/number_theory/46.json,number_theory,1,1,1
71,test/number_theory/516.json,number_theory,0,0,1
72,test/geometry/456.json,geometry,1,1,1
73,test/algebra/2253.json,algebra,1,1,1
74,test/precalculus/24313.json,precalculus,0,1,1
75,test/counting_and_probability/1114.json,counting_and_probability,1,1,1
76,test/intermediate_algebra/623.json,intermediate_algebra,1,1,1
77,test/algebra/1004.json,algebra,1,1,1
78,test/intermediate_algebra/47.json,intermediate_algebra,1,1,1
79,test/prealgebra/192.json,prealgebra,1,1,1
80,test/intermediate_algebra/1849.json,intermediate_algebra,0,0,0
81,test/algebra/1035.json,algebra,1,1,1
82,test/algebra/2700.json,algebra,0,0,1
83,test/intermediate_algebra/2046.json,intermediate_algebra,0,1,1
84,test/algebra/893.json,algebra,1,1,1
85,test/geometry/353.json,geometry,0,1,1
86,test/prealgebra/307.json,prealgebra,1,1,1
87,test/algebra/567.json,algebra,1,1,1
88,test/algebra/892.json,algebra,0,1,0
89,test/number_theory/357.json,number_theory,0,0,0
90,test/prealgebra/1761.json,prealgebra,1,0,1
91,test/algebra/2023.json,algebra,1,0,0
92,test/counting_and_probability/377.json,counting_and_probability,0,1,1
93,test/algebra/873.json,algebra,1,1,1
94,test/prealgebra/1646.json,prealgebra,0,1,0
95,test/precalculus/34.json,precalculus,1,1,1
96,test/intermediate_algebra/662.json,intermediate_algebra,0,0,0
97,test/prealgebra/105.json,prealgebra,0,1,1
98,test/prealgebra/1924.json,prealgebra,1,1,1
99,test/precalculus/1300.json,precalculus,0,0,1
100,test/geometry/183.json,geometry,0,0,0
101,test/intermediate_algebra/582.json,intermediate_algebra,0,0,0
102,test/intermediate_algebra/431.json,intermediate_algebra,1,1,1
103,test/intermediate_algebra/558.json,intermediate_algebra,0,0,0
104,test/intermediate_algebra/362.json,intermediate_algebra,0,0,1
105,test/prealgebra/1804.json,prealgebra,0,0,1
106,test/intermediate_algebra/515.json,intermediate_algebra,1,1,1
107,test/number_theory/914.json,number_theory,1,0,1
108,test/intermediate_algebra/894.json,intermediate_algebra,0,1,0
109,test/precalculus/44.json,precalculus,0,0,0
110,test/intermediate_algebra/345.json,intermediate_algebra,0,0,0
111,test/counting_and_probability/23957.json,counting_and_probability,1,1,1
112,test/algebra/2058.json,algebra,0,1,1
113,test/algebra/2593.json,algebra,1,1,1
114,test/intermediate_algebra/1898.json,intermediate_algebra,1,1,1
115,test/counting_and_probability/1060.json,counting_and_probability,0,0,0
116,test/algebra/2157.json,algebra,1,1,1
117,test/algebra/2251.json,algebra,1,1,1
118,test/intermediate_algebra/232.json,intermediate_algebra,0,0,1
119,test/prealgebra/1733.json,prealgebra,0,0,1
120,test/intermediate_algebra/128.json,intermediate_algebra,1,0,0
121,test/prealgebra/505.json,prealgebra,1,1,1
122,test/algebra/1332.json,algebra,0,1,1
123,test/geometry/283.json,geometry,0,1,0
124,test/algebra/972.json,algebra,1,1,1
125,test/algebra/2232.json,algebra,0,1,1
126,test/intermediate_algebra/1063.json,intermediate_algebra,0,0,0
127,test/number_theory/847.json,number_theory,1,1,1
128,test/algebra/661.json,algebra,1,1,1
129,test/geometry/1140.json,geometry,0,0,0
130,test/number_theory/753.json,number_theory,0,0,1
131,test/algebra/246.json,algebra,1,1,1
132,test/prealgebra/1686.json,prealgebra,1,1,1
133,test/prealgebra/1807.json,prealgebra,1,1,1
134,test/intermediate_algebra/1126.json,intermediate_algebra,1,1,1
135,test/prealgebra/1297.json,prealgebra,1,1,1
136,test/intermediate_algebra/2022.json,intermediate_algebra,0,0,1
137,test/number_theory/1257.json,number_theory,1,1,1
138,test/counting_and_probability/430.json,counting_and_probability,0,0,0
139,test/intermediate_algebra/1151.json,intermediate_algebra,1,1,1
140,test/number_theory/156.json,number_theory,0,1,1
141,test/number_theory/612.json,number_theory,1,1,1
142,test/counting_and_probability/159.json,counting_and_probability,0,0,1
143,test/precalculus/477.json,precalculus,1,1,1
144,test/precalculus/43.json,precalculus,1,1,1
145,test/intermediate_algebra/1408.json,intermediate_algebra,0,0,0
146,test/algebra/1519.json,algebra,1,1,1
147,test/intermediate_algebra/966.json,intermediate_algebra,1,0,0
148,test/algebra/988.json,algebra,1,1,1
149,test/number_theory/931.json,number_theory,1,1,1
150,test/intermediate_algebra/964.json,intermediate_algebra,0,0,0
151,test/precalculus/986.json,precalculus,0,0,1
152,test/geometry/172.json,geometry,0,0,0
153,test/counting_and_probability/230.json,counting_and_probability,0,1,1
154,test/geometry/880.json,geometry,0,0,0
155,test/counting_and_probability/803.json,counting_and_probability,1,1,1
156,test/precalculus/117.json,precalculus,0,0,0
157,test/intermediate_algebra/1410.json,intermediate_algebra,1,1,1
158,test/algebra/2570.json,algebra,0,0,0
159,test/algebra/621.json,algebra,1,1,1
160,test/number_theory/521.json,number_theory,0,1,1
161,test/algebra/1255.json,algebra,1,1,1
162,test/prealgebra/1655.json,prealgebra,0,1,1
163,test/algebra/2517.json,algebra,0,1,0
164,test/precalculus/697.json,precalculus,0,0,0
165,test/prealgebra/1356.json,prealgebra,0,0,1
166,test/prealgebra/1003.json,prealgebra,0,0,0
167,test/algebra/478.json,algebra,1,1,1
168,test/counting_and_probability/181.json,counting_and_probability,0,0,0
169,test/geometry/802.json,geometry,1,1,1
170,test/algebra/297.json,algebra,0,0,0
171,test/prealgebra/1272.json,prealgebra,1,1,1
172,test/algebra/841.json,algebra,1,1,1
173,test/algebra/686.json,algebra,0,0,1
174,test/algebra/351.json,algebra,1,1,1
175,test/intermediate_algebra/991.json,intermediate_algebra,1,1,0
176,test/number_theory/598.json,number_theory,0,1,1
177,test/geometry/65.json,geometry,0,1,0
178,test/prealgebra/1113.json,prealgebra,1,1,1
179,test/precalculus/659.json,precalculus,1,1,1
180,test/prealgebra/1908.json,prealgebra,1,0,0
181,test/algebra/1275.json,algebra,1,1,1
182,test/prealgebra/1922.json,prealgebra,1,1,1
183,test/algebra/1082.json,algebra,1,1,1
184,test/intermediate_algebra/183.json,intermediate_algebra,0,0,0
185,test/algebra/1214.json,algebra,1,1,1
186,test/number_theory/978.json,number_theory,0,1,1
187,test/algebra/2199.json,algebra,1,1,1
188,test/algebra/733.json,algebra,0,0,0
189,test/geometry/702.json,geometry,0,0,0
190,test/counting_and_probability/51.json,counting_and_probability,0,1,1
191,test/algebra/109.json,algebra,1,1,1
192,test/geometry/221.json,geometry,0,1,1
193,test/intermediate_algebra/1422.json,intermediate_algebra,1,1,1
194,test/intermediate_algebra/2196.json,intermediate_algebra,1,0,0
195,test/intermediate_algebra/591.json,intermediate_algebra,0,0,1
196,test/algebra/1937.json,algebra,0,1,1
197,test/number_theory/838.json,number_theory,0,0,1
198,test/counting_and_probability/508.json,counting_and_probability,1,1,1
199,test/prealgebra/1907.json,prealgebra,1,1,1
200,test/prealgebra/2086.json,prealgebra,1,0,1
201,test/number_theory/149.json,number_theory,1,0,1
202,test/algebra/291.json,algebra,0,0,1
203,test/intermediate_algebra/1555.json,intermediate_algebra,1,1,1
204,test/intermediate_algebra/1510.json,intermediate_algebra,0,0,0
205,test/precalculus/263.json,precalculus,0,1,0
206,test/precalculus/541.json,precalculus,1,1,1
207,test/counting_and_probability/389.json,counting_and_probability,1,1,1
208,test/number_theory/1201.json,number_theory,1,1,1
209,test/number_theory/234.json,number_theory,0,0,1
210,test/prealgebra/378.json,prealgebra,0,0,1
211,test/prealgebra/1555.json,prealgebra,1,1,1
212,test/algebra/2102.json,algebra,0,1,1
213,test/intermediate_algebra/102.json,intermediate_algebra,0,0,1
214,test/counting_and_probability/765.json,counting_and_probability,0,0,0
215,test/algebra/907.json,algebra,0,1,1
216,test/prealgebra/1436.json,prealgebra,0,1,1
217,test/number_theory/417.json,number_theory,0,0,1
218,test/algebra/864.json,algebra,1,1,1
219,test/counting_and_probability/282.json,counting_and_probability,0,0,1
220,test/prealgebra/1961.json,prealgebra,0,0,1
221,test/number_theory/89.json,number_theory,0,0,0
222,test/geometry/547.json,geometry,0,0,0
223,test/number_theory/183.json,number_theory,0,0,1
224,test/precalculus/190.json,precalculus,0,0,0
225,test/algebra/2159.json,algebra,1,0,1
226,test/counting_and_probability/71.json,counting_and_probability,0,0,1
227,test/precalculus/819.json,precalculus,1,1,0
228,test/precalculus/1056.json,precalculus,0,0,0
229,test/prealgebra/2057.json,prealgebra,1,1,1
230,test/intermediate_algebra/986.json,intermediate_algebra,0,1,1
231,test/algebra/1578.json,algebra,0,1,1
232,test/intermediate_algebra/1354.json,intermediate_algebra,0,0,0
233,test/precalculus/441.json,precalculus,1,1,1
234,test/intermediate_algebra/1837.json,intermediate_algebra,1,0,1
235,test/prealgebra/153.json,prealgebra,1,1,1
236,test/precalculus/989.json,precalculus,0,0,0
237,test/intermediate_algebra/337.json,intermediate_algebra,0,1,1
238,test/algebra/975.json,algebra,0,0,0
239,test/geometry/229.json,geometry,0,0,0
240,test/prealgebra/874.json,prealgebra,0,0,0
241,test/algebra/1143.json,algebra,0,1,1
242,test/algebra/2626.json,algebra,0,0,1
243,test/geometry/254.json,geometry,1,1,1
244,test/prealgebra/1251.json,prealgebra,0,1,1
245,test/intermediate_algebra/1210.json,intermediate_algebra,0,0,0
246,test/algebra/1787.json,algebra,0,0,1
247,test/intermediate_algebra/1123.json,intermediate_algebra,1,1,1
248,test/precalculus/920.json,precalculus,0,0,0
249,test/number_theory/1065.json,number_theory,0,0,1
250,test/algebra/1934.json,algebra,1,1,1
251,test/counting_and_probability/894.json,counting_and_probability,1,0,1
252,test/algebra/2064.json,algebra,1,1,1
253,test/prealgebra/1458.json,prealgebra,1,1,1
254,test/counting_and_probability/1009.json,counting_and_probability,0,0,1
255,test/precalculus/452.json,precalculus,0,1,1
256,test/prealgebra/1995.json,prealgebra,0,1,1
257,test/geometry/473.json,geometry,0,0,1
258,test/algebra/694.json,algebra,1,1,1
259,test/intermediate_algebra/149.json,intermediate_algebra,1,1,1
260,test/precalculus/580.json,precalculus,0,0,1
261,test/geometry/347.json,geometry,0,1,1
262,test/prealgebra/1317.json,prealgebra,1,1,1
263,test/geometry/483.json,geometry,1,1,1
264,test/geometry/826.json,geometry,0,0,0
265,test/algebra/524.json,algebra,1,1,1
266,test/prealgebra/1742.json,prealgebra,1,1,1
267,test/geometry/226.json,geometry,0,1,1
268,test/number_theory/466.json,number_theory,1,1,1
269,test/counting_and_probability/913.json,counting_and_probability,1,1,1
270,test/algebra/2551.json,algebra,1,1,1
271,test/number_theory/634.json,number_theory,0,0,1
272,test/number_theory/533.json,number_theory,0,0,0
273,test/prealgebra/993.json,prealgebra,1,1,1
274,test/geometry/686.json,geometry,0,0,0
275,test/algebra/346.json,algebra,1,1,1
276,test/algebra/1282.json,algebra,0,0,1
277,test/prealgebra/1834.json,prealgebra,1,1,1
278,test/number_theory/691.json,number_theory,1,1,1
279,test/prealgebra/1512.json,prealgebra,0,0,1
280,test/number_theory/1287.json,number_theory,1,0,1
281,test/prealgebra/260.json,prealgebra,1,0,0
282,test/algebra/1184.json,algebra,0,0,0
283,test/prealgebra/1787.json,prealgebra,1,1,1
284,test/precalculus/768.json,precalculus,0,0,0
285,test/intermediate_algebra/1411.json,intermediate_algebra,0,0,0
286,test/intermediate_algebra/960.json,intermediate_algebra,0,0,0
287,test/number_theory/631.json,number_theory,0,0,0
288,test/precalculus/1172.json,precalculus,0,0,1
289,test/intermediate_algebra/1300.json,intermediate_algebra,1,1,1
290,test/algebra/634.json,algebra,1,1,1
291,test/counting_and_probability/25149.json,counting_and_probability,1,0,1
292,test/intermediate_algebra/90.json,intermediate_algebra,0,0,0
293,test/algebra/2486.json,algebra,0,1,1
294,test/number_theory/488.json,number_theory,0,0,0
295,test/precalculus/1201.json,precalculus,0,0,0
296,test/intermediate_algebra/754.json,intermediate_algebra,0,0,1
297,test/number_theory/1172.json,number_theory,0,1,1
298,test/precalculus/881.json,precalculus,0,0,0
299,test/geometry/1097.json,geometry,0,0,1
300,test/counting_and_probability/339.json,counting_and_probability,1,1,1
301,test/prealgebra/1044.json,prealgebra,1,0,1
302,test/prealgebra/465.json,prealgebra,0,0,0
303,test/geometry/965.json,geometry,0,0,0
304,test/intermediate_algebra/446.json,intermediate_algebra,1,1,1
305,test/algebra/2257.json,algebra,1,1,1
306,test/intermediate_algebra/1544.json,intermediate_algebra,0,0,0
307,test/precalculus/695.json,precalculus,1,1,1
308,test/geometry/711.json,geometry,0,0,0
309,test/number_theory/203.json,number_theory,1,1,1
310,test/algebra/1842.json,algebra,1,1,1
311,test/number_theory/911.json,number_theory,1,1,1
312,test/intermediate_algebra/1714.json,intermediate_algebra,1,1,1
313,test/prealgebra/1423.json,prealgebra,0,1,1
314,test/geometry/1108.json,geometry,1,1,1
315,test/algebra/791.json,algebra,0,0,0
316,test/algebra/276.json,algebra,1,1,1
317,test/intermediate_algebra/2152.json,intermediate_algebra,0,0,0
318,test/algebra/2735.json,algebra,1,1,1
319,test/algebra/425.json,algebra,1,1,1
320,test/geometry/947.json,geometry,0,0,1
321,test/prealgebra/954.json,prealgebra,1,1,1
322,test/algebra/1936.json,algebra,1,1,1
323,test/counting_and_probability/870.json,counting_and_probability,0,0,1
324,test/geometry/465.json,geometry,0,0,0
325,test/geometry/73.json,geometry,1,1,1
326,test/precalculus/742.json,precalculus,0,0,0
327,test/intermediate_algebra/117.json,intermediate_algebra,0,0,0
328,test/algebra/2176.json,algebra,0,0,0
329,test/prealgebra/1973.json,prealgebra,1,1,1
330,test/counting_and_probability/216.json,counting_and_probability,1,1,1
331,test/algebra/509.json,algebra,0,0,1
332,test/intermediate_algebra/190.json,intermediate_algebra,0,0,0
333,test/intermediate_algebra/776.json,intermediate_algebra,0,0,1
334,test/algebra/1457.json,algebra,1,1,1
335,test/number_theory/483.json,number_theory,1,0,1
336,test/algebra/2592.json,algebra,1,1,1
337,test/prealgebra/1730.json,prealgebra,1,1,1
338,test/number_theory/368.json,number_theory,1,1,1
339,test/intermediate_algebra/1566.json,intermediate_algebra,0,0,1
340,test/precalculus/801.json,precalculus,0,0,0
341,test/algebra/858.json,algebra,0,0,1
342,test/prealgebra/1238.json,prealgebra,1,1,1
343,test/counting_and_probability/737.json,counting_and_probability,1,1,1
344,test/intermediate_algebra/1572.json,intermediate_algebra,1,1,1
345,test/algebra/1529.json,algebra,0,1,1
346,test/algebra/1338.json,algebra,1,1,1
347,test/algebra/1547.json,algebra,0,1,1
348,test/counting_and_probability/116.json,counting_and_probability,0,0,0
349,test/counting_and_probability/238.json,counting_and_probability,1,0,0
350,test/number_theory/686.json,number_theory,1,1,1
351,test/precalculus/826.json,precalculus,0,0,1
352,test/precalculus/1281.json,precalculus,0,0,0
353,test/counting_and_probability/1014.json,counting_and_probability,0,1,1
354,test/algebra/529.json,algebra,0,0,1
355,test/intermediate_algebra/1166.json,intermediate_algebra,0,0,0
356,test/algebra/1078.json,algebra,1,1,1
357,test/prealgebra/1353.json,prealgebra,0,0,1
358,test/intermediate_algebra/860.json,intermediate_algebra,0,1,1
359,test/intermediate_algebra/1407.json,intermediate_algebra,0,0,0
360,test/precalculus/96.json,precalculus,1,0,1
361,test/intermediate_algebra/1405.json,intermediate_algebra,0,0,1
362,test/counting_and_probability/14.json,counting_and_probability,1,1,1
363,test/algebra/251.json,algebra,1,1,1
364,test/intermediate_algebra/690.json,intermediate_algebra,1,0,1
365,test/number_theory/820.json,number_theory,0,0,1
366,test/number_theory/109.json,number_theory,1,1,1
367,test/algebra/1199.json,algebra,1,1,1
368,test/geometry/106.json,geometry,1,1,1
369,test/prealgebra/1187.json,prealgebra,0,0,0
370,test/precalculus/1289.json,precalculus,1,1,1
371,test/intermediate_algebra/955.json,intermediate_algebra,0,0,0
372,test/geometry/846.json,geometry,0,0,0
373,test/algebra/2264.json,algebra,1,1,1
374,test/algebra/1303.json,algebra,1,1,1
375,test/number_theory/427.json,number_theory,0,0,1
376,test/geometry/538.json,geometry,0,1,1
377,test/number_theory/1185.json,number_theory,1,0,1
378,test/prealgebra/1743.json,prealgebra,1,1,1
379,test/prealgebra/1865.json,prealgebra,0,0,1
380,test/intermediate_algebra/1992.json,intermediate_algebra,0,0,1
381,test/counting_and_probability/188.json,counting_and_probability,0,1,0
382,test/intermediate_algebra/1111.json,intermediate_algebra,0,0,1
383,test/algebra/101.json,algebra,1,1,1
384,test/prealgebra/1298.json,prealgebra,1,1,1
385,test/prealgebra/2066.json,prealgebra,0,0,1
386,test/algebra/170.json,algebra,1,1,1
387,test/algebra/849.json,algebra,1,1,1
388,test/algebra/1031.json,algebra,1,1,1
389,test/geometry/795.json,geometry,1,1,1
390,test/algebra/853.json,algebra,1,1,1
391,test/algebra/2277.json,algebra,1,1,0
392,test/precalculus/902.json,precalculus,0,0,0
393,test/algebra/518.json,algebra,1,1,1
394,test/intermediate_algebra/1791.json,intermediate_algebra,1,1,0
395,test/algebra/114.json,algebra,1,1,1
396,test/prealgebra/631.json,prealgebra,0,0,0
397,test/prealgebra/977.json,prealgebra,1,1,1
398,test/prealgebra/1991.json,prealgebra,0,1,1
399,test/prealgebra/1784.json,prealgebra,1,1,1
400,test/geometry/817.json,geometry,0,0,0
401,test/intermediate_algebra/1806.json,intermediate_algebra,0,0,0
402,test/precalculus/1291.json,precalculus,0,0,1
403,test/number_theory/928.json,number_theory,0,0,0
404,test/counting_and_probability/761.json,counting_and_probability,1,1,1
405,test/prealgebra/1572.json,prealgebra,0,1,1
406,test/number_theory/132.json,number_theory,1,1,0
407,test/algebra/1960.json,algebra,1,1,1
408,test/precalculus/398.json,precalculus,0,0,0
409,test/intermediate_algebra/1797.json,intermediate_algebra,0,1,1
410,test/prealgebra/65.json,prealgebra,1,1,1
411,test/prealgebra/1227.json,prealgebra,0,1,1
412,test/intermediate_algebra/2146.json,intermediate_algebra,0,0,0
413,test/algebra/2680.json,algebra,0,1,1
414,test/algebra/2391.json,algebra,1,1,1
415,test/number_theory/769.json,number_theory,0,0,1
416,test/precalculus/681.json,precalculus,0,0,0
417,test/algebra/776.json,algebra,0,1,1
418,test/algebra/1796.json,algebra,1,1,1
419,test/precalculus/145.json,precalculus,0,0,0
420,test/precalculus/625.json,precalculus,1,1,1
421,test/precalculus/1202.json,precalculus,0,0,1
422,test/intermediate_algebra/2015.json,intermediate_algebra,0,0,0
423,test/number_theory/1002.json,number_theory,0,0,0
424,test/algebra/1339.json,algebra,1,1,1
425,test/precalculus/1133.json,precalculus,0,0,0
426,test/geometry/843.json,geometry,1,1,1
427,test/algebra/2743.json,algebra,1,1,1
428,test/intermediate_algebra/121.json,intermediate_algebra,0,0,1
429,test/intermediate_algebra/1014.json,intermediate_algebra,1,1,1
430,test/prealgebra/2019.json,prealgebra,1,1,1
431,test/precalculus/499.json,precalculus,0,0,1
432,test/intermediate_algebra/1462.json,intermediate_algebra,0,0,0
433,test/number_theory/410.json,number_theory,0,1,1
434,test/prealgebra/1640.json,prealgebra,1,1,1
435,test/algebra/2043.json,algebra,1,1,1
436,test/counting_and_probability/10.json,counting_and_probability,0,0,1
437,test/algebra/1553.json,algebra,0,0,1
438,test/number_theory/255.json,number_theory,0,1,1
439,test/intermediate_algebra/199.json,intermediate_algebra,0,1,1
440,test/algebra/2080.json,algebra,1,1,1
441,test/prealgebra/2037.json,prealgebra,1,1,1
442,test/algebra/1343.json,algebra,1,1,1
443,test/algebra/668.json,algebra,1,1,1
444,test/counting_and_probability/731.json,counting_and_probability,0,0,0
445,test/intermediate_algebra/1779.json,intermediate_algebra,0,0,0
446,test/algebra/2430.json,algebra,1,1,1
447,test/prealgebra/996.json,prealgebra,1,1,1
448,test/number_theory/1000.json,number_theory,0,1,1
449,test/algebra/2789.json,algebra,1,1,1
450,test/number_theory/13.json,number_theory,1,1,1
451,test/number_theory/459.json,number_theory,0,0,1
452,test/algebra/1814.json,algebra,1,1,1
453,test/algebra/2476.json,algebra,1,0,1
454,test/precalculus/323.json,precalculus,0,0,0
455,test/counting_and_probability/190.json,counting_and_probability,1,1,1
456,test/intermediate_algebra/1102.json,intermediate_algebra,0,0,1
457,test/number_theory/342.json,number_theory,1,1,1
458,test/prealgebra/805.json,prealgebra,0,0,1
459,test/algebra/2780.json,algebra,0,0,1
460,test/prealgebra/914.json,prealgebra,0,0,0
461,test/algebra/824.json,algebra,0,0,1
462,test/number_theory/679.json,number_theory,1,0,1
463,test/algebra/1425.json,algebra,1,1,1
464,test/intermediate_algebra/834.json,intermediate_algebra,1,0,1
465,test/number_theory/72.json,number_theory,0,1,1
466,test/precalculus/703.json,precalculus,1,0,0
467,test/prealgebra/1114.json,prealgebra,1,1,1
468,test/algebra/224.json,algebra,1,1,1
469,test/algebra/435.json,algebra,1,1,1
470,test/intermediate_algebra/158.json,intermediate_algebra,0,0,0
471,test/prealgebra/846.json,prealgebra,1,1,1
472,test/algebra/2470.json,algebra,1,1,1
473,test/prealgebra/1930.json,prealgebra,0,1,1
474,test/intermediate_algebra/752.json,intermediate_algebra,1,1,1
475,test/counting_and_probability/1003.json,counting_and_probability,0,0,0
476,test/prealgebra/1252.json,prealgebra,0,0,1
477,test/number_theory/22.json,number_theory,0,1,0
478,test/intermediate_algebra/1279.json,intermediate_algebra,0,0,0
479,test/number_theory/1128.json,number_theory,1,0,1
480,test/precalculus/1252.json,precalculus,1,1,1
481,test/intermediate_algebra/1467.json,intermediate_algebra,0,0,0
482,test/number_theory/1090.json,number_theory,0,0,0
483,test/precalculus/1082.json,precalculus,0,0,0
484,test/intermediate_algebra/101.json,intermediate_algebra,0,0,1
485,test/counting_and_probability/199.json,counting_and_probability,0,0,0
486,test/geometry/477.json,geometry,1,1,1
487,test/number_theory/239.json,number_theory,1,1,1
488,test/prealgebra/1203.json,prealgebra,1,1,1
489,test/intermediate_algebra/1365.json,intermediate_algebra,0,0,0
490,test/intermediate_algebra/1350.json,intermediate_algebra,0,1,0
491,test/prealgebra/1128.json,prealgebra,0,0,0
492,test/precalculus/356.json,precalculus,1,1,1
493,test/algebra/2779.json,algebra,1,0,1
494,test/intermediate_algebra/1930.json,intermediate_algebra,0,0,1
495,test/intermediate_algebra/1981.json,intermediate_algebra,1,0,1
496,test/intermediate_algebra/1232.json,intermediate_algebra,1,1,1
497,test/geometry/561.json,geometry,0,0,0
498,test/intermediate_algebra/1508.json,intermediate_algebra,0,1,1
499,test/geometry/615.json,geometry,1,1,1
